,0
This was our first time here and very pleasantly surprised.,very pleasantly surprised
My husband ordered ribs and sides which he loved.,
I had the shrimp tacos and fries and they were cooked to perfection.,
I asked for a spicy margarita and the bar tender created a good one on the spur.,spicy
We sat on the patio and the service was fantastic.,fantastic
Very fast and we plan to eat there again.,
Loved the BBQ.,
Excellent service.,
Wonderful environment.,
The brisket was excellent.,excellent
The price is very reasonable.,very reasonable
Child friendly.,friendly
I recommend!,
We have never been in this area before.,
The hotel staff suggested Q's.,
"We were very pleased with the decor, menus and service.","very pleased with the decor , menus and service"
The server was charming and made us feel she enjoyed our company.,charming
It was taco night.,
"We ordered two kinds, pork and beef.",
They were delicious.,delicious
Spicy but not over whelming.,
For dessert the chocolate ice cream brownie was perfect for sharing.,perfect for sharing
We intend to return soon.,
We unhesitatingly recommend this restaurant.,
Catering!!,
We had ordered the beef brisket for our annual summer party.,
Amazing!,Amazing !
The beef had a good char on the outside and soooooo tender on the inside.,good char on the outside and soooooo
 Delicious!!,
"We ran out well before the night was over, even though I also served my own chicken.",
Everyone loved the beef!,
 Next party I will order both from Smokin' Q's.,
Thanks!!,
I ate here after seeing multiple segments on local TV.,
  Amazing barbecue.,
   Great smell.,
 Great taste.,
  Perfect service.,
"  

",
So glad i went here.,glad
 The corn side is over the top with flavor.,
  ,
Also.,
The brisket is most and Smokey.,
 ,
The three  sauces are diverse.,diverse
"Mild , a bit spicy and then a thin light sauce that has a bite.","Mild, a bit spicy, then a thin light"
"    

",
Please try this restaurant.,
" I had the ""little bear"" at lunch.",
 See photo.,
Peggy was a wonderful personable server that assisted us rookies on the menu.,wonderful personable
"We sampled our way with  quesomole, drinks, beer, mama bear and wedge.",
"No room for desserts, but she made them sound really yummy too.",really yummy too
 Brisket was the winner and pulled pork was a close second.,
"He loved the beans, I was not a fan.",
"Plenty of food, hope you get a good guide.",
We will be back soon.,
I have been to smokin'q's at least six times and have never been disappointed.,
The food is excellent and very reasonably priced.,"excellent, reasonably priced"
They have daily specials and a nice beverage list.,
Hoping to make it to taco Tuesday sometime soon to take advantage of the great deal and the chance to sample a variety of flavors.,
They also have an outdoor patio for warm weather dining.,
Fun place with an inclusive menu that has vegetarian options.,inclusive
They also have a great selection of local beers.,
The patio is cute and the bar area is very inviting.,cute
I got vegetable tacos and they were cooked to perfection.,
"Their side dish selection is superb, with tons of vegetables cooked in different styles.",superb
Definitely a great find in Mayfield!,
Atmosphere and music is wonderful!,wonderful
Service fast and prompt.,fast and prompt
Food excellent!,excellent
I had the Birdie without the taco.,
Very tasty with just the right amount of heat.,Very tasty with just the right amount of heat .
 Will definitely be back!,
Delicious!!,
"Nice, small intimate local place.",
Very nice staff.,Very nice
Has a large outdoor patio with fireplace.,
Hard sweet tea is potent and delish!!,potent and delish
Good service and delicious cornbread are not enough to recommend the successor to Fisher's.,enough to recommend the successor to Fisher 's
" Tough chicken, pulled pork and tasteless hamburger are surprisingly available at this restaurant run by the excellent Quagliata restaurant family.",surprisingly available at this restaurant run by the excellent Quagliata restaurant family
"
",
"The menu is extensive and maybe there are items which would have been better, but half of our group vowed never to return to try them.","extensive, better"
 Too bad.,Too bad .
God I love meat.,
I'm a terrible Indian man as I eat all meats.,
"Pig, cow, chicken, alligator, fox - you name it, I eat it.",
"Needless to say, there was a sweaty tenderness in my loins that developed when I heard of a new BBQ joint opening up around Cleveland.",Needless to say
"

I took a seat at the bar.",
Solid craft beer list that included a couple offerings from Double Wing Brewing that is underrepresented in downtown Cleveland.,
I asked the bartender what to order and she recommended the sporaccii sandwich.,
"

",
"The sandwich had jalapeno cheddar sausage, loads of pulled pork and slaw on soft butter rolls and came with a side of their housemade bbq sauce - vinegar based with a little tang and a little spice.",
The first bite was magic - my mouth grabbed hold of a piece of pulled pork and the pulled pork just kept going and going and going.,magic
BOOM SHAKALAKA.,
"During subsequent bites, I had several sandwich droppings which I expediently scooped up and devoured.",
"

Tasty, meaty addition to Cleveland!",
I have been wanting to go here since they opened last year but the mixed reviews had kept me away.,
I finally decided to give it a try this past Friday.,
I had heard good things about the panko/frosted flake battered fish.,panko / frosted
Needless to say I should have gone here much sooner.,Needless to say I
"I had a 2 meat combo, fish and brisket and the boyfriend had a 3-meat combo, pulled pork, ribs and sausage.",
Everything was great!,great
The fried corn and sausage was a bit to spicy for me but everything else was wonderful!,"spicy, wonderful"
The mac and cheese is some of the best i have ever had.,
Don't let the reviews keep you away.,
I think there was some growing pains in the very beginning but they must have turned things around.,
"Service was great, food was great and it was served hot and pretty quick.","great, great, hot"
We will be going back.,
Great Cleveland BBQ place.,
"There is a ton of menu variety, even vegetarian choices.",
"I highly recommend getting the ""El Jefe style"" for your meat, it's a nice change from the usual BBQ sides.",
The meat on the baby-back ribs was delicious.,delicious
The staff was very friendly and helpful.,very friendly and helpful
I look forward to going back and trying other menu items.,
I had brisket.,
Good but a little fatty.,"Good, a little fatty"
Portions were small.,small
Good atmosphere.,
Corn bread was tasty.,tasty
Service was very good.,very good
This restaurant was a pleasant surprise!,
We had driven past it a couple of times and it had a rustic appeal so we decided to try it out.,
"
Upon first walking in it was very quaint but very cold in the dining room.","very quaint, very cold"
"If you are typically cold like myself, bring a sweater in if you don't plan on eating on the patio.",cold like myself
There is a very nice patio area actually.,very nice
They had a decent menu for drinks.,
They have a limited happy hour that we didn't take advantage of that time.,limited happy
We wanted to try a little bit of everything so we chose the meal where you get try all 4 meats and it was worth it.,worth
A large portion and you also get a side; more than enough to share!,more than enough
The Mac and cheese was exceptional and so was the brisket!,exceptional
"
All in all, solid BBQ for a reasonable price.",
Came here to meet some business associates for happy hour.,
 We were seated promptly and waitress took our drink orders quickly.,
 It was taco Tuesday,
so I tried a couple of their tacos.,
The tacos were so good,so good
I ordered a couple of more.,
They had a lot of different kinds of tacos on the menu also.,
 They have a few local beers on tap.,
 Overall a good place.,
I will begin this review with the hope that a few months in business will improve this restaurant.,
We have been looking forward to the opening of Smokin' Q's since we heard about it!,
"We sat at the bar for a late lunch on Saturday, June 10th.",
"As other reviewers have stated, there were so many employees standing around and talking that it made us uncomfortable and no one seemed to have anything to do.",uncomfortable
The two employees behind the bar spent a good 15-20 minutes complaining about how many hours they were working.,how many
The bar is not a large area so there was no avoiding their conversation.,
"We were ready to order, after the shock of $5 sides slightly wore off.",ready to order
"Our server was taking our orders, and as he turned away from my husband to take my order, the manager said to our server ""So I heard you came in a little late today, huh?""",
How is this at all appropriate to bring up in front of customers!?,
"I said ""Please have your conversation after I'm finished ordering.""",finished ordering
"My pulled pork with $5 mashed sweet potatoes was, for the most part, enjoyable.",enjoyable
The bread that it came with lacked any flavor.,
"A friend of ours ordered the brisket, and got nearly an entire piece of fat, which they replaced for him at no charge.",
My husband ordered half slab ribs.,
4 minature ribs with very little meat.,very little
I ordered pork chop which was decent.,decent
Won't be returning here.,
Slaw was in tiny cup.,
"Also, came with roll which looked and tasted from a package.",
Been here many many times for lunch with a large work group (8-12 people depending on the day).,
