,0
"1st off, I do like this joint.",
 Sunday brunch in my area is non-existent,non-existent
so I came for the buffet.,
" Waitress was not around to greet me so I took off to get my breakfast, because she didn't greet me I didn't get to find out that becasue of my age I could have gotten my meal for $10.99 instead of $12.99, I'm older than 55.",older
 I should have forgotten to leave her a gratuity.,
"
Sausage, bacon, hash brown bake were good, biscut-gravy and scrambled eggs  not so much.","brown, good, so much"
" Over by the omlette station they have waffels, those were a great way to end the meal.",
 Next time I'll have the chef make me an omlette.,
"
If you can eat both breakfast and lunch at the same time, they offer ribs and mac and cheese.",
Tucked away behind a bridge in an awkward business plaza or something sits this cute little cafe.,
Came in on a Sunday where they apparently have a limited menu and a $12 brunch buffet.,
"
",
We decided to go with the buffet and walked away feeling money well spent.,
The food quality in this clean establishment was above part and we'll prepared.,
Standing behind the active station was a friendly older gentleman preparing your perfectly put together omelet.,perfectly put together
Tip the man please because he deserves it and seems like he couldn't be happier to put together your omelet.,happier
For the waffles they offer homemade peach and blackberry compote to dress over your waffle.,
"Can't speak for the peach, but the blackberry was delicious.",delicious
Tasted fresh and not too sweet.,"fresh, too sweet"
"Happy we found this place, and hope you will too.",
"Good food, poor service.",
I waited 20 or 30 mins before I could give my name.,
I had to go up to someone working and tell them ..,
there did not seem to be a hostess yet it said please wait to be seated...,
everyone waiting seemed to be confused.,
"We were seated in the ""added on"" room which didn't have any of the decor like the main room.",added on
A buffet was going on for a children's birthday party so the atmosphere was not what I hoped.,
Perhaps I came on an off day.,
The waitress was nice and I did enjoy my plate of food.,nice
I've been here twice now for brunch.,
Each time I'm a bit amazed at how good the food really is for a small town place tucked in near the train tracks.,how good
"

I went a la carte on my last visit and ordered a pancake, sausage patties, hash browns, and a side of fruit.",la
"I figured they would all be super small side portions, but boy was I wrong.",
They were very generous with the plating and I couldn't finish all of my food.,very generous with the plating
"

",
The pancake was delicious and looked so tempting that my friend had to sneak a taste too and agreed.,"delicious, so tempting"
It was a fluffy disc the size of a large plate with a dollop of whipped butter on the top.,
"It's probably a dish you can recall from memory of a past experience, but this pancake still exceeded my expectations.",
The maple syrup mixed in with the melted butter to create a wonderful balance of decadent sweetness.,decadent
"

If you're looking to order a dish straight off the menu, I would recommend the Spanish Omelette.",
