,0
"Had to get my wing fix, I like dry rubs on wings they had 3 different types couldn't choose between 6 pepper, smoked and cajun style",
so I just got all three.,
"
All were great but if I needed to choose I would go with the 6 pepper, along with incredible craft beer offered makes this place a great stopping place while passing threw !",great
I have eaten here,
"three times so far, and I have walked away very pleased.",away very pleased
"Service has been great and highly recommend the burgers and boneless wings, both are the best I have ever had at a restaurant.",great
Great selection of on tap beers as well.,
Give it a try.,
Had a great dinner here tonight.,
I asked the waitress for a suggestion and she was spot on.,
Service was good employees were friendly and warm.,friendly and warm
Salads are fresh and terrific and overloaded with ingredients.,fresh and terrific and overloaded
I am a truck driver have to sit a day  Great place ...,
Great wings ...,
Great waitress...,
But get a Sunday liquor license please my company comes here a lot,
One of the best sports bars around.,
The food is always good and the servers are always nice!,"good, nice"
"
",
"We usually get burgers or ribs, both are great choices.",
Best veggie burgers w/ pepper jack cheese!,
"

",
Becky is absolutely the best server!,
"

Highly recommended!",Highly recommended
I would give this place 3.5 stars.,
"Not quite a 4, but not a 3 in my book (obviously since I wish I could give it a 3.5 on the scoring.",
"It has bands from time to time, which is what makes it a 4.",
Not many places have an area that converts from a stage at night to tables during the day.,
I would give it a 3 for food.,
"It's just your typical, everyday bar food.",
"Nothing to write home about, but it's not necessarily bad.",necessarily bad
Just average.,Just average .
"I've been here a couple of times, and I have always enjoyed myself.",
"The service is also fantastic, which also helps its rating.",fantastic
"I would recommend you stop at least once to try it out, especially if there is a band.",
I was in town on business and we were exhausted and starving.,exhausted and starving
This place had good reviews so we gave it a go.,
We were blown away by how good everything was!,how good
"The house seasoned wings were perfect, but the real star was the Irish Nachos.",perfect
Reuben filling on top of hot waffle fries with Russian dressing?,
We still talk about how delicious they were.,how delicious
We're looking forward to visiting again the next time work brings me to Streetsboro.,
Excellent food!,
 Great quality and large portions.,
 Everyone at the table was very pleased.,very pleased
 Also a very good beer selection.,very good
 Service was a little slow but wasn't a huge deal.,a little slow
 Everyone was very friendly.,very friendly
 Would definitely go back again!,
